epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74583,2.8887,4.31573,1.83404,0.00889,0.21053,0.00706,0.00343,2.12532,3.39651,1.30929,0.00018,0.00018,0.00018
2,6.1385,2.37566,3.75289,1.71398,0.02139,0.50658,0.01777,0.00916,1.69248,3.31746,1.15595,0.000376238,0.000376238,0.000376238
3,8.44172,2.37936,3.40527,1.58149,0.02806,0.66447,0.0299,0.01492,1.6591,3.29687,1.16177,0.000568516,0.000568516,0.000568516
4,10.7622,2.05092,3.03522,1.37627,0.02917,0.69079,0.03337,0.01574,1.72749,3.28171,1.1697,0.000756834,0.000756834,0.000756834
5,13.2215,2.15179,3.01417,1.43384,0.02833,0.67105,0.03099,0.01676,1.55881,3.16424,1.15143,0.000941192,0.000941192,0.000941192
6,15.7122,2.20206,2.93793,1.50947,0.0275,0.65132,0.05597,0.02968,1.58924,3.08062,1.18382,0.00112159,0.00112159,0.00112159
7,18.4739,2.3764,2.79433,1.39019,0.0275,0.65132,0.05597,0.02968,1.58924,3.08062,1.18382,0.00129803,0.00129803,0.00129803
8,20.7808,2.09477,7.95338,1.33987,0.35705,0.27037,0.17144,0.07034,1.78111,2.92324,1.27447,0.00147051,0.00147051,0.00147051
9,23.1508,2.31983,2.23495,1.4442,0.36209,0.11842,0.22094,0.09758,1.82504,2.69135,1.28182,0.00163902,0.00163902,0.00163902
10,25.4292,2.35188,2.45767,1.45541,0.36209,0.11842,0.22094,0.09758,1.82504,2.69135,1.28182,0.00180358,0.00180358,0.00180358
11,27.8272,2.17737,2.44952,1.45111,0.67664,0.44054,0.49908,0.24483,1.70502,2.34474,1.18211,0.001802,0.001802,0.001802
12,30.2389,2.2575,2.41922,1.46218,0.79538,0.35526,0.44043,0.22756,1.6969,2.43298,1.21791,0.0017822,0.0017822,0.0017822
13,32.6572,2.2391,2.17127,1.34986,0.79538,0.35526,0.44043,0.22756,1.6969,2.43298,1.21791,0.0017624,0.0017624,0.0017624
14,35.0638,2.03092,2.10505,1.25048,0.34247,0.41447,0.32822,0.16775,1.67615,1.95769,1.27156,0.0017426,0.0017426,0.0017426
15,37.3638,2.0361,1.91804,1.273,0.34438,0.43421,0.34818,0.1681,1.73603,1.86239,1.34458,0.0017228,0.0017228,0.0017228
16,39.6818,2.10127,2.33474,1.38295,0.34438,0.43421,0.34818,0.1681,1.73603,1.86239,1.34458,0.001703,0.001703,0.001703
17,42.0287,2.12202,2.36006,1.3179,0.29759,0.40132,0.25979,0.11986,1.84377,1.96543,1.43578,0.0016832,0.0016832,0.0016832
18,44.4493,2.25065,3.29448,1.49348,0.29759,0.40132,0.25979,0.11986,1.84377,1.96543,1.43578,0.0016634,0.0016634,0.0016634
19,46.9565,2.00962,1.67257,1.27649,0.51114,0.38816,0.3783,0.1815,1.71899,1.68642,1.31662,0.0016436,0.0016436,0.0016436
20,49.3339,1.89931,1.92022,1.28459,0.53281,0.36842,0.40627,0.20647,1.58645,1.74319,1.25369,0.0016238,0.0016238,0.0016238
21,51.6743,2.18241,2.20125,1.27252,0.53281,0.36842,0.40627,0.20647,1.58645,1.74319,1.25369,0.001604,0.001604,0.001604
22,54.0122,2.14788,1.94117,1.33367,0.33651,0.26316,0.21604,0.11325,1.70262,2.28564,1.2852,0.0015842,0.0015842,0.0015842
23,56.4217,2.10535,2.17678,1.39688,0.56743,0.31579,0.30549,0.15656,1.85869,2.94867,1.39755,0.0015644,0.0015644,0.0015644
24,58.8278,2.07822,2.20544,1.37595,0.56743,0.31579,0.30549,0.15656,1.85869,2.94867,1.39755,0.0015446,0.0015446,0.0015446
25,61.3901,2.01491,1.98305,1.38836,0.75338,0.42763,0.48481,0.2495,1.74139,2.45208,1.36988,0.0015248,0.0015248,0.0015248
26,63.7211,1.93797,1.96032,1.34219,0.75338,0.42763,0.48481,0.2495,1.74139,2.45208,1.36988,0.001505,0.001505,0.001505
27,66.1533,2.0511,2.03124,1.38969,0.79777,0.44079,0.51262,0.27836,1.60368,2.34034,1.31066,0.0014852,0.0014852,0.0014852
28,68.6744,1.95774,1.8342,1.31884,0.73411,0.4541,0.53421,0.28914,1.58933,2.40968,1.30135,0.0014654,0.0014654,0.0014654
29,71.0346,1.99107,3.75264,1.41592,0.73411,0.4541,0.53421,0.28914,1.58933,2.40968,1.30135,0.0014456,0.0014456,0.0014456
30,73.4863,1.90496,1.65679,1.26241,0.81471,0.55921,0.63301,0.35485,1.55268,1.69653,1.28189,0.0014258,0.0014258,0.0014258
31,75.9284,1.96846,1.63984,1.28709,0.68878,0.57237,0.60765,0.3255,1.62564,2.12071,1.30216,0.001406,0.001406,0.001406
32,78.2864,1.94611,1.88402,1.27573,0.68878,0.57237,0.60765,0.3255,1.62564,2.12071,1.30216,0.0013862,0.0013862,0.0013862
33,80.827,2.03464,1.81906,1.35428,0.57352,0.46053,0.48446,0.23655,1.83349,2.6522,1.3494,0.0013664,0.0013664,0.0013664
34,83.2971,2.14385,1.98583,1.35275,0.57352,0.46053,0.48446,0.23655,1.83349,2.6522,1.3494,0.0013466,0.0013466,0.0013466
35,85.8708,1.6907,1.74237,1.22888,0.80615,0.47368,0.57224,0.3021,1.67497,2.27674,1.268,0.0013268,0.0013268,0.0013268
36,88.4467,1.77735,1.71473,1.29832,0.86613,0.59592,0.65146,0.36303,1.56083,1.63334,1.23133,0.001307,0.001307,0.001307
37,91.355,1.65998,1.56286,1.23014,0.86613,0.59592,0.65146,0.36303,1.56083,1.63334,1.23133,0.0012872,0.0012872,0.0012872
